Latency	Type	Duration
459440	10	2361
462160	11	1250
462600	21	444.21
462980	10	2285.4
465610	12	1250
466290	22	684.18
466660	10	2144.1
469160	11	1250
469640	21	486.7
470020	10	2538.2
472910	11	1250
473430	21	519.78
473790	10	2957.4
477100	12	1250
477710	22	609.29
478090	10	2658.4
481100	12	1250
481730	22	625.56
482100	10	2246.6
484700	11	1250
485120	21	421.84
485500	10	2781
488630	12	1250
489310	22	679.07
489680	10	2381.8
492420	12	1250
493000	22	584.89
493370	10	2072
495800	11	1250
496290	21	488.52
496670	10	2378
499400	11	1250
499900	21	504.03
500280	10	2575
503200	12	1250
503880	22	681.6
504250	10	2401.3
507010	12	1250
507710	22	702.73
508090	10	2480.1
510930	11	1250
511390	21	463.23
511760	10	2335.2
514460	12	1250
515020	22	563.12
515410	10	2325.3
518070	11	1250
518670	21	593.11
519040	10	2212.1
521610	12	1250
522210	22	607.07
522590	10	2269.8
525220	11	1250
525740	21	521.21
526120	10	2663.3
529140	12	1250
529940	22	806.02
530340	10	2287.9
532970	12	1250
533620	22	651.95
534000	10	2439.9
536800	11	1250
537370	21	567.87
537750	10	2598
540720	11	1250
541360	21	643.35
541730	10	2377.4
544480	12	1250
545020	22	534.02
545400	10	2567.1
548310	11	1250
548910	21	595.05
549280	10	2336.5
551980	11	1250
552460	21	478.62
558900	10	2245.4
561510	11	1250
562000	21	488.74
562380	10	2957.3
565690	11	1250
566250	21	563.07
566640	10	2266.9
569260	12	1250
570020	22	765.95
570410	10	2605.5
573370	11	1250
573770	21	401.08
574160	10	2221.4
576740	11	1250
577240	21	502.42
577620	10	2425.1
580420	12	1250
581050	22	628.12
581440	10	2484.4
584290	11	1250
584650	21	362.78
585040	10	2732.3
588130	12	1250
588930	22	792.25
589320	10	2314.9
591980	11	1250
592340	21	357.69
592720	10	2870.2
595960	12	1250
596680	22	718.43
597060	10	2125.2
599560	12	1250
600310	22	746.05
600700	10	2734.2
603800	11	1250
604290	21	492.7
604680	10	2287.2
607330	12	1250
607980	22	653.91
608360	10	2486.1
611230	11	1250
611710	21	480.95
612090	10	2526.1
614990	11	1250
615530	21	540.41
615910	10	2918
619210	12	1250
619860	22	649.21
620240	10	2715
623360	11	1250
623800	21	446.54
624190	10	2552.3
627120	11	1250
627630	21	508.1
628020	10	2761.8
631150	12	1250
631700	22	551.24
632100	10	2538.2
635000	11	1250
635460	21	459.21
635850	10	2866.3
639080	11	1250
639530	21	444.79
639920	10	2196.6
